,Airline,Date of Journey,Source,Destination,Route,Dep Time,Arr Time,Duration,Total Stops,Additional Info,Price,Arrival_Time_Hour,Dep_Time_Dummy,Dep_Time_Hour,Arrival_Time_Dummy
24,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 07 May,13:20,1,In-flight meal not included,7757,08:15:00,1900-01-01 18:55:00,18:55:00,1900-01-01 08:15:00
25,Jet Airways,2019-06-09,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 10 Jun,15:10,2,No info,13292,12:35:00,1900-01-01 21:25:00,21:25:00,1900-01-01 12:35:00
26,IndiGo,2019-06-01,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 Jun,5:45,1,No info,8238,03:35:00,1900-01-01 21:50:00,21:50:00,1900-01-01 03:35:00
27,GoAir,2019-05-15,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5:55,1,No info,7682,12:55:00,1900-01-01 07:00:00,07:00:00,1900-01-01 12:55:00
28,Vistara,2019-06-18,Banglore,Delhi,BLR → DEL,09:45,12:35,2:50,0,No info,4668,12:35:00,1900-01-01 09:45:00,09:45:00,1900-01-01 12:35:00
29,Vistara,2019-06-15,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No info,3687,09:20:00,1900-01-01 07:05:00,07:05:00,1900-01-01 09:20:00
30,Vistara,2019-06-18,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No info,3687,09:20:00,1900-01-01 07:05:00,07:05:00,1900-01-01 09:20:00
31,Air India,2019-05-01,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13:25,2,No info,13227,23:15:00,1900-01-01 09:50:00,09:50:00,1900-01-01 23:15:00
32,IndiGo,2019-04-06,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No info,4423,06:50:00,1900-01-01 04:00:00,04:00:00,1900-01-01 06:50:00
33,Jet Airways,2019-06-15,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 16 Jun,22:00,2,In-flight meal not included,10919,12:35:00,1900-01-01 14:35:00,14:35:00,1900-01-01 12:35:00
34,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,07:05,12:35,5:30,1,In-flight meal not included,12373,12:35:00,1900-01-01 07:05:00,07:05:00,1900-01-01 12:35:00
35,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10:25,1,No info,5894,21:00:00,1900-01-01 10:35:00,10:35:00,1900-01-01 21:00:00
36,SpiceJet,2019-05-21,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5:15,1,No info,4649,20:20:00,1900-01-01 15:05:00,15:05:00,1900-01-01 20:20:00
37,Air India,2019-05-18,Kolkata,Banglore,CCU → BLR,14:15,16:45,2:30,0,No info,6245,16:45:00,1900-01-01 14:15:00,14:15:00,1900-01-01 16:45:00
38,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,07:00,13:15,6:15,1,No info,19225,13:15:00,1900-01-01 07:00:00,07:00:00,1900-01-01 13:15:00
39,Jet Airways,2019-06-03,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,No info,14924,19:00:00,1900-01-01 07:05:00,07:05:00,1900-01-01 19:00:00
40,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,07:05,18:10,11:5,1,No info,9646,18:10:00,1900-01-01 07:05:00,07:05:00,1900-01-01 18:10:00
41,Air India,2019-03-15,Banglore,New Delhi,BLR → BOM → DEL,06:45,15:15,8:30,1,No info,8714,15:15:00,1900-01-01 06:45:00,06:45:00,1900-01-01 15:15:00
42,Jet Airways,2019-05-18,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22:5,1,In-flight meal not included,12373,19:00:00,1900-01-01 20:55:00,20:55:00,1900-01-01 19:00:00
43,Air Asia,2019-05-06,Banglore,Delhi,BLR → DEL,11:10,13:55,2:45,0,No info,3383,13:55:00,1900-01-01 11:10:00,11:10:00,1900-01-01 13:55:00
44,Multiple carriers,2019-03-21,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12:00,1,No info,13062,21:00:00,1900-01-01 09:00:00,09:00:00,1900-01-01 21:00:00
45,SpiceJet,2019-03-24,Banglore,New Delhi,BLR → DEL,05:45,08:35,2:50,0,No check-in baggage included,3527,08:35:00,1900-01-01 05:45:00,05:45:00,1900-01-01 08:35:00
46,IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No info,3943,06:50:00,1900-01-01 04:00:00,04:00:00,1900-01-01 06:50:00
47,Air India,2019-05-03,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,No info,4667,13:55:00,1900-01-01 11:40:00,11:40:00,1900-01-01 13:55:00
48,Air India,2019-05-15,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16:5,1,No info,6117,11:05:00,1900-01-01 19:00:00,19:00:00,1900-01-01 11:05:00
49,Jet Airways,2019-06-27,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19:55,2,In-flight meal not included,11150,19:00:00,1900-01-01 23:05:00,23:05:00,1900-01-01 19:00:00
50,Jet Airways,2019-03-09,Delhi,Cochin,DEL → COK,11:00,14:15,3:15,0,In-flight meal not included,7202,14:15:00,1900-01-01 11:00:00,11:00:00,1900-01-01 14:15:00
51,Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25:20,1,No info,12121,10:55:00,1900-01-01 09:35:00,09:35:00,1900-01-01 10:55:00
52,IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2:50,0,No info,4377,01:10:00,1900-01-01 22:20:00,22:20:00,1900-01-01 01:10:00
53,IndiGo,2019-06-18,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3:00,0,No info,3943,00:15:00,1900-01-01 21:15:00,21:15:00,1900-01-01 00:15:00
54,Air Asia,2019-04-03,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2:50,0,No info,4483,02:45:00,1900-01-01 23:55:00,23:55:00,1900-01-01 02:45:00
55,Jet Airways,2019-03-24,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16:15,1,No info,14231,12:00:00,1900-01-01 19:45:00,19:45:00,1900-01-01 12:00:00
56,Air India,2019-03-01,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15:5,2,No info,17345,23:55:00,1900-01-01 08:50:00,08:50:00,1900-01-01 23:55:00
57,Vistara,2019-03-06,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No info,7414,09:20:00,1900-01-01 07:05:00,07:05:00,1900-01-01 09:20:00
58,Multiple carriers,2019-05-06,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6:30,1,No info,8073,01:30:00,1900-01-01 19:00:00,19:00:00,1900-01-01 01:30:00
59,Vistara,2019-03-06,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25:5,1,No info,12395,16:45:00,1900-01-01 15:40:00,15:40:00,1900-01-01 16:45:00
60,Air India,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12:25,1,No info,8366,21:50:00,1900-01-01 09:25:00,09:25:00,1900-01-01 21:50:00
61,Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27:20,1,No info,5117,09:25:00,1900-01-01 06:05:00,06:05:00,1900-01-01 09:25:00
62,Multiple carriers,2019-06-03,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10:15,1,No info,12524,19:00:00,1900-01-01 08:45:00,08:45:00,1900-01-01 19:00:00
63,IndiGo,2019-05-15,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10:30,1,No info,7191,01:30:00,1900-01-01 15:00:00,15:00:00,1900-01-01 01:30:00
64,Vistara,2019-05-24,Chennai,Kolkata,MAA → CCU,07:05,09:20,2:15,0,No info,3687,09:20:00,1900-01-01 07:05:00,07:05:00,1900-01-01 09:20:00
65,IndiGo,2019-06-24,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10:25,1,No info,5894,21:00:00,1900-01-01 10:35:00,10:35:00,1900-01-01 21:00:00
66,Vistara,2019-04-24,Banglore,Delhi,BLR → DEL,09:45,12:35,2:50,0,No info,5403,12:35:00,1900-01-01 09:45:00,09:45:00,1900-01-01 12:35:00
67,Air India,2019-05-06,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1:30,0,No info,3625,15:25:00,1900-01-01 13:55:00,13:55:00,1900-01-01 15:25:00
68,Air India,2019-05-21,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13:20,2,No info,10861,19:15:00,1900-01-01 05:55:00,05:55:00,1900-01-01 19:15:00
69,IndiGo,2019-03-12,Chennai,Kolkata,MAA → CCU,13:20,15:35,2:15,0,No info,6297,15:35:00,1900-01-01 13:20:00,13:20:00,1900-01-01 15:35:00
70,Jet Airways,2019-06-01,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,No info,5678,08:30:00,1900-01-01 07:05:00,07:05:00,1900-01-01 08:30:00
71,Jet Airways,2019-03-09,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26:30,1,In-flight meal not included,9134,08:15:00,1900-01-01 05:45:00,05:45:00,1900-01-01 08:15:00
72,Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7:20,1,In-flight meal not included,10791,19:00:00,1900-01-01 11:40:00,11:40:00,1900-01-01 19:00:00
73,Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13:30,2,No info,12819,12:35:00,1900-01-01 23:05:00,23:05:00,1900-01-01 12:35:00
74,IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5:00,1,No info,6893,10:05:00,1900-01-01 05:05:00,05:05:00,1900-01-01 10:05:00
75,Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50,12:35,2:45,0,No info,7240,12:35:00,1900-01-01 09:50:00,09:50:00,1900-01-01 12:35:00
76,GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40,14:30,2:50,0,No info,3898,14:30:00,1900-01-01 11:40:00,11:40:00,1900-01-01 14:30:00
77,IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1:30,0,No info,4049,07:55:00,1900-01-01 06:25:00,06:25:00,1900-01-01 07:55:00
78,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19:5,1,In-flight meal not included,10262,12:35:00,1900-01-01 17:30:00,17:30:00,1900-01-01 12:35:00
79,SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2:15,0,No check-in baggage included,3332,10:35:00,1900-01-01 08:20:00,08:20:00,1900-01-01 10:35:00
80,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14:50,1,In-flight meal not included,10844,12:00:00,1900-01-01 21:10:00,21:10:00,1900-01-01 12:00:00
81,Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55,22:35,2:40,0,No info,7229,22:35:00,1900-01-01 19:55:00,19:55:00,1900-01-01 22:35:00
82,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22:10,1,No info,13941,04:40:00,1900-01-01 06:30:00,06:30:00,1900-01-01 04:40:00
83,IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9:35,1,No info,5894,21:00:00,1900-01-01 11:25:00,11:25:00,1900-01-01 21:00:00
84,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10:00,1,No info,10197,19:00:00,1900-01-01 09:00:00,09:00:00,1900-01-01 19:00:00
85,Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21:20,1,In-flight meal not included,13712,11:25:00,1900-01-01 14:05:00,14:05:00,1900-01-01 11:25:00
86,IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5:25,1,No info,5636,07:25:00,1900-01-01 02:00:00,02:00:00,1900-01-01 07:25:00
87,Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18:45,2,No info,13014,04:25:00,1900-01-01 09:40:00,09:40:00,1900-01-01 04:25:00
88,Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,In-flight meal not included,7064,20:45:00,1900-01-01 08:25:00,08:25:00,1900-01-01 20:45:00
89,Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18:00,1,In-flight meal not included,10703,14:25:00,1900-01-01 20:25:00,20:25:00,1900-01-01 14:25:00
90,Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9:15,1,No info,9646,22:30:00,1900-01-01 13:15:00,13:15:00,1900-01-01 22:30:00
91,Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11:5,1,No info,17057,13:20:00,1900-01-01 02:15:00,02:15:00,1900-01-01 13:20:00
92,Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17:30,1,No info,13817,10:25:00,1900-01-01 16:55:00,16:55:00,1900-01-01 10:25:00
93,Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13:20,2,No info,13748,19:15:00,1900-01-01 05:55:00,05:55:00,1900-01-01 19:15:00
94,Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45,23:20,2:35,0,No info,4880,23:20:00,1900-01-01 20:45:00,20:45:00,1900-01-01 23:20:00
95,IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15,07:40,2:25,0,No info,3540,07:40:00,1900-01-01 05:15:00,05:15:00,1900-01-01 07:40:00
96,SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No check-in baggage included,3257,08:35:00,1900-01-01 05:55:00,05:55:00,1900-01-01 08:35:00
97,Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50,22:50,3:00,0,In-flight meal not included,6478,22:50:00,1900-01-01 19:50:00,19:50:00,1900-01-01 22:50:00
98,Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1:25,0,No info,8040,08:30:00,1900-01-01 07:05:00,07:05:00,1900-01-01 08:30:00
99,Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16:35,2,No info,14300,12:35:00,1900-01-01 20:00:00,20:00:00,1900-01-01 12:35:00
100,Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12:20,1,No info,14781,20:45:00,1900-01-01 08:25:00,08:25:00,1900-01-01 20:45:00
101,Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12:15,1,No info,14939,08:15:00,1900-01-01 20:00:00,20:00:00,1900-01-01 08:15:00
102,Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7:30,1,In-flight meal not included,10262,04:25:00,1900-01-01 20:55:00,20:55:00,1900-01-01 04:25:00
103,Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24:00,1,No info,6528,14:35:00,1900-01-01 14:35:00,14:35:00,1900-01-01 14:35:00
104,Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10,08:55,2:45,0,No info,6121,08:55:00,1900-01-01 06:10:00,06:10:00,1900-01-01 08:55:00
105,Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8:55,2,In-flight meal not included,13029,04:25:00,1900-01-01 19:30:00,19:30:00,1900-01-01 04:25:00
106,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7:10,1,No info,11421,18:50:00,1900-01-01 11:40:00,11:40:00,1900-01-01 18:50:00
107,Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14:30,1,No info,7574,19:15:00,1900-01-01 04:45:00,04:45:00,1900-01-01 19:15:00
108,Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30:20,2,No info,11596,19:15:00,1900-01-01 12:55:00,12:55:00,1900-01-01 19:15:00
109,Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19:55,2,No info,15129,19:00:00,1900-01-01 23:05:00,23:05:00,1900-01-01 19:00:00
110,Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15:00,1,No info,13555,05:05:00,1900-01-01 14:05:00,14:05:00,1900-01-01 05:05:00
111,IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55,21:50,2:55,0,No info,5780,21:50:00,1900-01-01 18:55:00,18:55:00,1900-01-01 21:50:00
112,Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12:45,1,No info,9397,09:05:00,1900-01-01 20:20:00,20:20:00,1900-01-01 09:05:00
113,Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10:10,1,No info,17024,04:25:00,1900-01-01 18:15:00,18:15:00,1900-01-01 04:25:00
114,GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5:55,1,No info,5281,12:55:00,1900-01-01 07:00:00,07:00:00,1900-01-01 12:55:00
115,Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15:25,1,No info,10348,22:30:00,1900-01-01 07:05:00,07:05:00,1900-01-01 22:30:00
116,Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16:5,1,No info,12677,09:25:00,1900-01-01 17:20:00,17:20:00,1900-01-01 09:25:00
117,Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10:10,1,No info,15147,01:35:00,1900-01-01 15:25:00,15:25:00,1900-01-01 01:35:00
118,Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00,09:40,2:40,0,No info,4668,09:40:00,1900-01-01 07:00:00,07:00:00,1900-01-01 09:40:00
119,Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11:55,1,No info,15554,19:00:00,1900-01-01 07:05:00,07:05:00,1900-01-01 19:00:00
120,SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55,08:35,2:40,0,No info,3971,08:35:00,1900-01-01 05:55:00,05:55:00,1900-01-01 08:35:00
121,Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1:25,0,No info,3100,16:25:00,1900-01-01 15:00:00,15:00:00,1900-01-01 16:25:00
122,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14:5,1,In-flight meal not included,9663,10:05:00,1900-01-01 20:00:00,20:00:00,1900-01-01 10:05:00
123,Air India,2019-03-01,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20:15,1,No info,27430,19:15:00,1900-01-01 23:00:00,23:00:00,1900-01-01 19:15:00
124,IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15,07:40,2:25,0,No info,3540,07:40:00,1900-01-01 05:15:00,05:15:00,1900-01-01 07:40:00
125,Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23:10,2,No info,10676,11:10:00,1900-01-01 12:00:00,12:00:00,1900-01-01 11:10:00
126,Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18:10,1,No info,13044,08:15:00,1900-01-01 14:05:00,14:05:00,1900-01-01 08:15:00
127,Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16:00,1,No info,14388,12:00:00,1900-01-01 20:00:00,20:00:00,1900-01-01 12:00:00
128,IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00,06:50,2:50,0,No info,3943,06:50:00,1900-01-01 04:00:00,04:00:00,1900-01-01 06:50:00
129,IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45,17:05,2:20,0,No info,3597,17:05:00,1900-01-01 14:45:00,14:45:00,1900-01-01 17:05:00
130,Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8:00,1,No info,5932,19:50:00,1900-01-01 11:50:00,11:50:00,1900-01-01 19:50:00
131,Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16:55,1,In-flight meal not included,10262,04:25:00,1900-01-01 11:30:00,11:30:00,1900-01-01 04:25:00
132,Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40,17:50,3:10,0,No info,6216,17:50:00,1900-01-01 14:40:00,14:40:00,1900-01-01 17:50:00
133,IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25,23:10,2:45,0,No info,4804,23:10:00,1900-01-01 20:25:00,20:25:00,1900-01-01 23:10:00
134,Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14:00,1,No info,14067,01:30:00,1900-01-01 11:30:00,11:30:00,1900-01-01 01:30:00
135,Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23:50,2,No info,15129,19:00:00,1900-01-01 19:10:00,19:10:00,1900-01-01 19:00:00
136,Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21:40,2,No info,13376,04:25:00,1900-01-01 06:45:00,06:45:00,1900-01-01 04:25:00
137,Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21:15,2,No info,10441,19:15:00,1900-01-01 22:00:00,22:00:00,1900-01-01 19:15:00
138,Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00,08:45,2:45,0,In-flight meal not included,4030,08:45:00,1900-01-01 06:00:00,06:00:00,1900-01-01 08:45:00
139,Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10:50,1,No info,17024,18:50:00,1900-01-01 08:00:00,08:00:00,1900-01-01 18:50:00
